alim_grp_nom_fr;alim_nom_fr;Energie;Eau;Proteines;Glucides;Lipides;Sucres;Fructose;Galactose;Glucose;Lactose;Maltose;Saccharose;Amidon;Fibres alimentaires;Polyols totaux;Cendres;Alcool;Acides organiques;AG satures;AG monoinsatures;AG polyinsatures;AG 4:0, butyrique;AG 6:0, caproeque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stearique;AG 18:1 9c(n9), oleique;AG 18:2 9c,12c(n6), linoleique;AG 18:3 c9,c12,c15(n3), alphalinolenique;AG 20:4 5c,8c,11c,14c(n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c(n3) EPA;AG 22:6 4c,7c,10c,13c,16c,19c(n3) DHA;Cholesterol(mg/100g);Sel chlorure de sodium;Calcium(mg/100g);Chlorure(mg/100g);Cuivre(mg/100g);Fer(mg/100g);Iode(eg/100g);Magnesium(mg/100g);Manganese(mg/100g);Phosphore(mg/100g);Potassium(mg/100g);Selenium(eg/100g);Sodium(mg/100g);Zinc(mg/100g);Retinol(eg/100g);BetaCarotene(eg/100g);Vitamine D(eg/100g);Vitamine à(mg/100g);Vitamine K1(eg/100g);Vitamine K2(eg/100g);Vitamine C(mg/100g);Vitamine B1 ou Thiamine(mg/100g);Vitamine B2 ou Riboflavine(mg/100g);Vitamine B3 ou PP ou Niacine(mg/100g);Vitamine B5 ou Acide pantothenique(mg/100g);Vitamine B6(mg/100g);Vitamine B9 ou Folates totaux(eg/100g);Vitamine B12(eg/100g)
viandes. ?ufs. poissons et assimiles;Grondin perlon. cru;97.4;76.3;20.3;traces;1.79;0;;;;;;;0;0;0;1.39;0;0;;;;;;;;;;;;;;;;;;;0.14;;;;;;;;;;37.2;;;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;Merlu blanc du Cap. surgele. cru;78;;16.1;traces;1.52;0;0.3;;0.3;;0.3;0.3;0;0;0;1;0;0;0.51;0.15;0.41;8;0.002;0.002;0.002;0.002;33;0.31;89;0.15;14;0.02;31;;;;0.28;32;;;0.4;;;;;;29;87.5;;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;Chinchard maigre. cru;96.7;77.4;18.7;traces;2.42;0;;;;;;;0;0;0;1.36;0;0;0.66;0.79;0.77;;;;;;85;0.38;0.16;0.39;21;0.0093;31;0.14;0.34;49.6;0.16;20.1;;0.1;0.96;37.3;31.7;0.1;206;386;16.6;62;0.36;4;;41.2;0.64;;;;0.1;0.12;4.12;0.38;0.3;;6.99
viandes. ?ufs. poissons et assimiles;Chinchard gras. cru;147;71.7;19.6;traces;7.66;0;;;;;;;0;0;0;1.24;0;0;1.79;2.56;2.15;;;;;4;0.37;1.05;0.27;0.83;71;42;31;0.29;0.7;45.3;0.14;5.72;;0.1;0.85;20.8;31.7;0.1;195;382;42.8;54.7;0.38;4.7;;48.5;0.48;;;;0.08;0.12;6.7;0.29;0.37;;7.5
viandes. ?ufs. poissons et assimiles;Hareng maigre. cru;111;76.2;18.3;traces;4.22;0;;;;;;;0;0;0;1.46;0;0;0.83;1.17;0.95;;;;;0.0038;0.28;0.46;43;0.29;63;27;;0.16;0.32;50;0.19;23.8;255;0.1;0.87;5.5;36.2;0.1;261;450;18.6;75;0.49;6.1;;9.59;0.57;;;;0.04;0.13;4.11;0.57;0.42;;8.47
viandes. ?ufs. poissons et assimiles;Hareng gras. cru;172;68.3;18.7;traces;10.8;0;0;;0;0;0;0;0;0;0;1.45;0;0;2.23;4.05;3.48;;;;;0.0094;0.76;1.26;0.11;0.71;0.16;0.12;;0.45;0.83;54.7;0.13;47.7;650;0.1;0.88;8.94;32.7;0.1;247;421;25.4;52.4;0.44;11.7;;8.36;1.8;0;;0.5;0.04;0.15;6.14;0.72;0.4;10;8.28
viandes. ?ufs. poissons et assimiles;Joels(petits poissons entiers) pour friture. crus;88.9;;17.5;traces;2.1;0;;;;;;;0;0;0;0.33;0;0;0.4;;;;;;;;;;;;;;;;;;0.27;60;;;0.9;;;;;;;108;;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;Empereur. filet. sans peau. cru;73.5;;15;traces;1.5;0;;;;;;;0;0;0;0.21;0;0;0.3;;;;;;;;;;;;;;;;;;0.21;;;;;;;;;;;83;;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;Rougetbarbet. filet avec peau. surgele. cru(Thaelande. Senegal?);96.7;;16.3;traces;3.5;0;;;;;;;0;0;0;0.21;0;0;0.9;;;;;;;;;;;;;;;;;;0.2;14;;;0.3;;;;;;;78;;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;Carpe. crue. elevage;114;77.3;17.7;traces;4.76;0;0;;0;0;0;0;0;0;0;1.01;0;0;1.28;2.36;0.95;0;0;0;0;4;61;0.9;0.26;1.6;0.49;0.13;;63;55;58.3;77;29.2;37;0.1;1.58;18.3;23.7;0.1;143;310;20;30.6;0.58;3.5;0;3.84;0.63;0.1;;1.3;0.04;72;2.81;1.25;0.13;16;3.16
viandes. ?ufs. poissons et assimiles;Truite d'elevage. crue;133;73.9;19.3;traces;6.22;0;;;;;;;0;0;0;1.28;0;0;1.25;2.22;2.45;;;;;2;0.19;0.81;0.19;1.43;0.73;0.28;;0.29;0.66;54.8;0.1;17.1;;0.1;0.5;9.23;27.5;0.1;188;410;9.75;41.8;0.44;13.5;0.008;5.92;1.94;;;;0.14;0.1;5.54;1.51;0.34;9.23;2.54
viandes. ?ufs. poissons et assimiles;Truite arc en ciel. crue. elevage;132;74;19;traces;6.24;0;0;;0;0;0;0;0;0;0;1.3;0;0;1.15;1.75;1.62;0;0;0;0;4;0.23;0.72;0.16;0.89;0.36;66;0.03;0.19;0.64;59.1;0.11;41.7;57;0.06;0.46;8.1;28.7;26;246;410;17.6;45.5;0.61;49;0;12.1;1.55;0.33;3.39;traces;0.13;0.11;4.36;1.58;0.38;12.8;4.33
viandes. ?ufs. poissons et assimiles;Perche. crue;82.2;79.7;17.9;traces;1.19;0;;;;0;;0;0;0;0;1.25;0;0;0.28;0.25;0.43;0;0;0;;1;19;0.16;39;;33;0.02;;33;74;61.1;0.14;70.8;;37;0.58;13;28.5;0.15;208;290;24;55.2;0.66;15;0;5.75;0.7;0.1;;2.9;61;81;2.65;0.75;0.16;11;2
viandes. ?ufs. poissons et assimiles;Brochet. cru;83.7;79.1;18.8;traces;0.94;0;;;;0;;0;0;0;0;1.2;0;0;0.26;0.18;0.29;0;0;0;0;0.00099;14;0.19;52;;33;11;;33;74;43.8;0.13;33;;0.09;0.9;15.3;21;0.15;176;228;12.7;51.9;0.97;21;0;4.33;0.45;0.1;;3.6;76;58;1.83;0.75;0.13;15;2
viandes. ?ufs. poissons et assimiles;Esturgeon. cru;123;74.5;17.7;traces;5.84;0;;;;;;;0;0;0;1.1;0;0;1.34;2.53;1.07;0;0;0;0;0;0.2;1.02;0.1;1.8;;46;47;0.28;93;63;0.12;15.6;;41;0.62;;40.9;25;225;307;;49.2;0.63;210;0;10.3;0.5;0.1;;0;0.07;0.07;6.96;0.76;0.32;15;1.74
viandes. ?ufs. poissons et assimiles;Anguille. crue;232;62.1;16.1;traces;18.6;0;0;;0;0;0;0;0;0;0;1.09;0;0;3.89;8.42;2.39;0;0;0;0;0;0.78;2.67;0.44;5.28;0.66;0.21;0.16;0.49;0.68;120;0.16;23.6;57;41;0.71;36.3;18;78;285;260;28.7;65.5;2.27;1280;0;16;6;1.25;;1.6;0.17;0.24;3.16;0.17;0.21;13.8;2.8
viandes. ?ufs. poissons et assimiles;Pangasius ou Poissonchat. cru;65.2;83.8;13.5;traces;1.27;0;0;0;0;0;0;;0;0;0;1.21;0;0;0.47;0.44;0.17;0;0;0;0;0.0048;39;0.31;97;0.39;93;0.0048;;0.0024;17;29.8;0.68;36.7;;0.1;0.21;7.95;17.6;0.1;107;200;9.6;274;0.24;2;0;0.5;0.16;2.1;;0;0.04;22;1.35;1.96;0.1;10;0.3
viandes. ?ufs. poissons et assimiles;Tilapia. cru;91.6;78.5;18.1;traces;2.13;0;;;;;;;0;0;0;0.82;0;0;0.56;0.64;0.44;0;0;0;0;0.0011;46;0.39;0.1;0.44;0.21;28;;11;71;39.5;71;8.16;;0.1;0.27;6.38;25.4;0.1;131;282;17.8;28.3;0.32;2;0;19.6;0.4;1.3;;0;0.04;51;3.28;0.68;0.23;24;1.07
viandes. ?ufs. poissons et assimiles;Truite saumonee. crue;143;74.2;19.2;traces;7.4;0;;;;;;;0;0;0;1.3;0;0;1.2;;;;;;;;;;;;;;;;;48;0.2;46.7;;43;0.52;8.89;30.5;traces;210;346;14.8;92.8;0.61;20;;18.7;;0;;0;0.16;0.09;;;;22;4.7
viandes. ?ufs. poissons et assimiles;Lotte de riviere. crue;77;80.6;17.8;traces;0.66;0;;;;0;;0;0;0;0;1.13;0;0;0.17;0.12;0.21;;;;;0;6;0.13;34;;0;12;;0.07;96;60;0.22;44;;0.11;0.65;40;26.5;0.37;195;337;20;86;0.65;5.5;;0.5;0.85;;;0;0.28;0.14;1.56;0.15;0.3;1;0.8
viandes. ?ufs. poissons et assimiles;Sandre. cru;82.9;78.4;18.3;traces;1.08;0;;;;;;0;0;0;0;1.12;0;0;0.21;0.24;0.31;;;;;0;23;0.16;27;0.24;52;0.0092;;69;0.18;70.3;0.12;54;;14;0.3;21.5;29;0.03;220;340;20;57;0.4;0;;0.7;1.35;0.13;0.78;1;0.16;0.25;2.31;;;;
viandes. ?ufs. poissons et assimiles;Perche du Nil. crue;82.4;79;19.1;traces;0.68;0;;;;;;;0;0;0;0.98;0;0;0.22;0.17;0.2;;;;;0.00061;15;0.13;58;64;0.0077;0.0063;;0.02;0.08;63.7;0.14;4.96;;0.1;0.26;6.54;26.8;0.1;156;308;30.6;57.5;0.35;7;;0.46;0.49;;;;71;0.04;2.01;0.34;0.11;;1.17
viandes. ?ufs. poissons et assimiles;Bigorneau. cuit;;74.9;16.3;;3.5;;0;;0;0;0;0;0;0;0;2.29;0;0;0.26;2.1;0.93;0.01;0.01;0.01;0.01;0.01;0.01;0.18;0.06;1.91;0.61;0.29;0.01;0.01;0.03;106;0.48;0.2;318;0.01;0.01;570;0.05;0.01;0.3;0.3;20;193;0.05;21;0;0.25;2.18;2.59;;0.5;34;61;1.3;0.28;14;32.7;60.7
viandes. ?ufs. poissons et assimiles;Coquille SaintJacques. noix et corail. cuite;110;73;20.2;3.22;1.77;0.3;0.2;0;0.3;0.2;0.2;0.2;0;0;0;1.82;0;0;0.32;0.12;0.68;0;0;0;0;47;0.02;0.17;81;0.06;9;11;;0.12;0.12;44;0.46;17.1;410;73;1.4;20;62.8;1.27;357;348;61.4;183;2.89;2;0;0;0;0;;0;46;37;0.99;0.26;0.11;19;8.39
viandes. ?ufs. poissons et assimiles;Crevette grise. cuite;89.9;74.7;18.3;1.47;1.2;;0;;0;0;0;0;0;0;0;4.32;0;0;0.31;0.28;0.49;0.01;0.01;0.01;0.01;0.01;0.03;0.21;0.06;0.14;0.01;0.01;0.03;0.24;0.17;164;1.15;1000;671;1;0.79;260;53;0.14;280;97;40;458;2.4;21;;0.25;4.32;0.8;;0.5;0.015;0.28;0.49;0.11;94;33.5;12.6
viandes. ?ufs. poissons et assimiles;Crevette. cuite;93.8;74.9;19;1.87;1.16;0.25;0.08;0;0.08;0.025;0.08;0.08;traces;0;0;3.05;0;0;0.31;0.28;0.44;0;0;0;0;0.0079;17;0.16;0.12;0.1;0;0;0;0.17;0.17;159;1.35;240;1510;0.68;1.98;5;61;77;57;254;21.5;541;1.69;2;0;0.5;2.48;0.2;;0.83;19;0.04;1.77;0.31;0.1;14.6;1.64
viandes. ?ufs. poissons et assimiles;Homard. bouilli/cuit à l'eau;90.9;76.5;19.6;0.11;1.32;0;0;0;0;0;0;0;0;0;0;2.42;0;0;0.21;0.3;0.49;0;0;0;0;3;14;0.12;54;0.19;39;55;6;0.2;0.11;128;0.9;68.8;530;1.3;0.63;120;34.2;0.19;212;208;2.2;361;2.96;1;0;0;1.6;0;;0;51;29;1.61;1.43;0.14;12.3;1.64
viandes. ?ufs. poissons et assimiles;Moule. bouillie/cuite à l'eau;108;74.1;17.2;5.12;2.09;;0.15;;0.15;0;0.19;0.15;traces;0;0;1.48;0;0;0.37;0.29;0.72;;;;;0.0038;56;0.23;58;0.0075;15;13;72;0.35;0.16;52.1;0.8;59.4;411;0.11;3.99;106;66.6;0.19;179;166;55.7;322;2.85;98.4;;0.34;2.27;0;;5.87;0.04;0.29;1.16;0.28;44;48;17.6
viandes. ?ufs. poissons et assimiles;Bulot ou Buccin. cuit;97.7;74.1;20.7;2.69;0.47;traces;0;;0;0;0;0;traces;0;0;2.07;0;0;72;46;0.16;;;;;0;0.0067;21;38;0.02;5;2;;56;23;127;0.97;64.5;701;0.27;0.64;114;144;0.1;108;173;31.4;387;1.58;2;traces;0.5;0.8;;;3.4;0.04;96;1.44;0.41;83;7.67;4.61
viandes. ?ufs. poissons et assimiles;Langouste. bouillie/cuite à l'eau;106;;21.8;1.3;1.52;0;0;;0;0;0;0;0;0;0;1.78;0;0;0.26;0.35;0.75;;;;;;7;0.17;0.09;;;;;0.26;0.11;80;0.46;65.5;;0.42;1.36;65;51;18;229;208;;182;7.27;10.5;0;0.5;1.5;;;2.1;9;56;4.9;0.4;0.17;1;4.04
viandes. ?ufs. poissons et assimiles;Crabe ou Tourteau. bouilli/cuit à l'eau;124;72.3;19.5;1.79;4.29;0;0;;0;0;0;0;0;0;0;2.18;0;0;0.55;1.26;1.4;;;;;0;54;0.31;0.13;0.62;76;0.11;24;0.61;0.28;73.3;1.23;53;640;1.99;1.62;100;55;87;302;248;39.6;478;4.42;26;;traces;2.4;0;;3.6;84;0.53;2.1;0.73;0.2;25.5;6.79
viandes. ?ufs. poissons et assimiles;Clam. Praire ou Palourde. bouilli/cuit à l'eau;99.2;74.1;16.2;5.33;1.48;0;;;;;;;0;0;0;2.97;0;0;0.14;0.13;0.42;;;;;;0.02;92;27;;;;;0.16;0.14;50.5;1.56;72.5;;0.5;9.67;80;12.9;0.75;231;432;51.8;625;2.05;81;0;0;1;;;22.1;0.11;0.29;2.03;0.47;0.13;20.1;39.5
viandes. ?ufs. poissons et assimiles;ecrevisse. cuite;73.5;81.6;16.3;0.56;0.7;0.25;0.2;;0.2;0.1;0.2;0.2;0;0;0;0.89;0;0;0.17;0.16;0.23;0.00028;0.00028;0.00028;0.00028;0.0028;0.0056;0.11;33;0.1;72;0.04;31;54;21;116;0.21;73;96.8;0.89;0.65;20;26;0.32;150;140;50;85.7;1.5;21;;0.5;;0.8;;0.5;0.01;0.05;0.36;0.21;28;17.7;4.87
viandes. ?ufs. poissons et assimiles;Crevette rose bouquet. cuite;;74.6;22.8;;1.27;;;;;;;;0;0;0;1.52;0;0;0.22;0.26;0.34;;;;;1;13;0.14;47;0.11;12;0.0064;;0.16;0.11;209;0.47;35.4;369;0.94;0.2;14.1;29.7;64;171;318;20.4;188;1.32;2;43;0.5;5.98;;;;57;46;1.91;0.09;0.12;;1.77
viandes. ?ufs. poissons et assimiles;Calmar ou calamar ou encornet. bouilli/cuit à l'eau;149;61.1;32.5;1.64;1.4;;;;;;;;0;0;0;3.36;0;0;0.24;0.16;0.27;;;;;;24;0.12;88;;;;;78;0.13;224;1.86;180;;1;5.77;;60;0.21;;637;;744;3.46;203;;;;;;8.5;17;1.73;2.19;0.9;0.27;24;5.4
viandes. ?ufs. poissons et assimiles;Fruits de mer(aliment moyen);104;74;18.9;3.06;1.76;0.12;49;;78;0.02;72;53;0.00014;0.00092;0;2.39;0;0;0.35;0.35;0.57;;;;;12;29;0.2;0.1;0.11;18;15;23;0.2;0.15;111;1.1;130;912;0.64;2.67;68.3;62.2;0.3;157;271;37.4;439;4;35;0.00025;0.18;1.91;0.13;;3.28;32;0.23;1.71;0.41;0.12;22.1;9.94
viandes. ?ufs. poissons et assimiles;Langoustine. bouillie/cuite à l'eau;;76.3;20.9;;0.98;;;;;;;;0;0;0;1.82;0;0;0.14;0.16;0.2;;;;;;0.0056;88;27;64;0.0064;0.0018;;75;74;149;0.67;84;413;0.83;1.28;394;45;0.06;208;283;55.6;270;1.7;2;0.008;0.5;3.01;;;;49;33;2.32;0.22;0.16;;3.35
viandes. ?ufs. poissons et assimiles;Araignee de mer. cuite;;75.3;18.3;;3.8;;;;;;;;0;0;0;2.44;0;0;1.14;1.15;1.2;0.01;0.01;0.01;0.01;0.01;0.16;0.66;0.2;0.44;0.03;0.01;0.14;0.52;0.35;115;0.96;230;662;0.91;2;80;64;0.07;250;260;110;385;5.9;21;;0.25;6.42;0.8;;0.5;0.015;1.25;1.43;0.79;0.12;95.1;9.13
viandes. ?ufs. poissons et assimiles;Crevette pattes blanches. cuite;;73.9;22.6;;0.96;;;;;;;;0;0;0;2.9;0;0;0.23;0.15;0.3;;;;;;0.0036;0.14;76;88;89;0.0054;;86;77;181;1.82;109;1070;0.73;1.64;4.12;43.5;0.1;177;288;31.8;730;1.38;2;0.0086;0.5;2.15;;;;0.04;41;3.16;0.26;0.19;;6.62
viandes. ?ufs. poissons et assimiles;Crevette geante tigree. cuite;;73.5;23.4;;0.98;;;;;;;;0;0;0;2.32;0;0;0.19;0.14;0.27;;;;;;3;0.11;61;82;89;0.0044;;0.05;84;205;1.43;44.4;870;1.21;0.34;22.1;49;0.1;183;291;43.8;570;2;2;15;0.36;1.92;;;;24;29;3.77;0.44;0.18;;1.85
viandes. ?ufs. poissons et assimiles;Crevette royale rose. cuite;;71.2;26.6;;1.18;;;;;;;;0;0;0;1.33;0;0;0.25;0.22;0.28;;;;;;16;0.13;78;61;11;2;;0.1;68;237;0.34;81.1;159;0.29;0.84;40.9;54.3;0.1;203;207;52.2;138;1.99;2;13;0.5;1.91;;;;0.04;42;2.91;0.13;0.18;;2.46
viandes. ?ufs. poissons et assimiles;Poulpe. cuit;156;60.5;29.8;4.4;2.08;0;;;;;;;0;0;0;3.2;0;0;0.45;0.32;0.48;0;0;0;0;0;0.05;0.3;0.1;;;;;0.15;0.16;96;1.15;106;;0.74;9.54;;60;47;279;630;;460;3.36;90;0;0;1.2;0.1;;8;57;76;3.78;0.9;0.65;24;36
viandes. ?ufs. poissons et assimiles;Fruits de mer. cuits. surgeles;79.5;;13.5;2.83;1.57;0;0.3;;0.3;;0.3;0.3;0;0;0;1.31;0;0;0.45;0.3;0.64;;;;;;;;;;0.01;0.01;;;;;0.99;70;;;8.48;;;;;;;402;;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;Calmar ou calamar ou encornet. frit ou poele avec matiere grasse;173;64.5;17.9;8.45;7.48;;;;;;;;0;0;0;1.59;0;0;1.88;2.75;2.14;;;;;;64;1.13;0.69;;;;;0.16;0.38;260;0.77;39;;2.11;1.01;;38;0.07;251;279;;306;1.74;11;;;;;;4.2;56;0.46;2.6;0.51;58;5;1.23
viandes. ?ufs. poissons et assimiles;Escargot. sans matiere grasse ajoutee. cuit;80;78.8;16.6;0.23;1.4;0.3;0.2;;0.2;0.2;0.2;0.3;0;0;0;1.84;0;0;0.31;0.24;0.75;0.01;0.01;0.01;0.01;0.01;0.0075;0.11;0.14;0.23;0.24;0.04;0.16;35;0.01;;0.27;;;;;;;;;;;109;;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;Grenouille. cuisse. grillee/poelee;;76.7;21.9;;0.9;;;;;;;;0;0;0;0.51;0;0;0.3;0.2;0.22;0.00036;0.00036;0.00036;0.00036;0.0043;17;0.2;68;0.14;78;19;54;13;23;49.7;0.22;39;86.6;0.03;0.52;20;22;0.06;92;110;50;87.8;0.56;21;;1.12;;0.8;;;35;0.07;1.47;0.23;0.15;5;2.29
viandes. ?ufs. poissons et assimiles;Calmar ou calamar ou encornet. cru;77;80.9;14.4;2.17;1.19;0;0;;0;0;0;0;0;0;0;1.35;0;0;0.28;0.11;0.39;0;0;0;0;0;22;0.21;44;34;0.0024;;;0.12;0.27;247;0.61;17.5;;0.15;0.2;12.8;44.2;0.1;166;227;23.8;243;1.13;2;0;0.36;1.39;0;;4.7;0.04;32;1.57;0.24;96;11;3.15
viandes. ?ufs. poissons et assimiles;Coquille SaintJacques. noix et corail. crue;83;79.3;17;0.78;1.31;0.5;0.15;0;0.23;0;0.28;0.15;0;0;0;1.62;0;0;0.19;96;0.38;0;0;0;0;1;0.02;0.12;0.04;11;0.0076;0.0086;;0.12;0.14;42.2;0.48;220;;0.09;1.16;42.6;51.4;2.4;225;388;21.4;191;2.91;2;0;0.5;0;0;;0;0.04;0.14;1.9;0.4;0.1;17;4.99
viandes. ?ufs. poissons et assimiles;Escargot. cru;77.9;79.1;16.1;1.29;0.92;0;0.2;;0.2;0.2;0.2;0.2;0;0;0;2.59;0;0;0.19;0.13;0.26;0;0;0;0;0;21;0.11;62;0.11;0.12;16;;0.12;0;57.5;0.35;90;;2.8;2.6;6;48.3;1.2;157;35;;138;1.17;30;0;0.5;5;0.1;;15;0.02;0.12;1.7;;28;8.5;0.92
viandes. ?ufs. poissons et assimiles;Homard. cru;85.5;77.9;17.9;0.94;1.15;0;0;0;0;0;0;0;0;0;0;2.14;0;0;0.13;0.24;0.34;0;0;0;0;0.0016;0.0098;86;37;0.18;36;49;0.0046;0.16;85;117;0.9;68.8;;1.3;0.45;240;34.2;0.19;150;204;2.2;361;2.96;11;0;0;1.19;0;;2.5;38;38;1.7;1.47;0.12;12;3.78
viandes. ?ufs. poissons et assimiles;Huetre. sans precision. crue;67.2;83.3;8.64;3.86;1.91;traces;0;;0;0;0;0;traces;0;0;2.3;0;0;0.34;0.23;0.35;;;;;;44;0.21;52;39;15;12;17;0.15;71;20.3;1.45;92.7;820;1.29;2.18;101;90.2;0.55;94.6;175;23.5;578;22.5;14.2;;0.5;1.21;0;;5.13;37;0.15;1.95;0.65;95;12.5;28.6
viandes. ?ufs. poissons et assimiles;Moule commune. crue;71.8;82.7;11.2;2.69;1.82;0;0;;0;0;0;0;0;0;0;1.63;0;0;0.45;0.4;0.49;0;0;0;0;0;65;0.26;81;0.11;37;29;61;0.15;0.15;65.2;0.85;51.5;462;0.18;6.78;138;31;1;213;276;48.3;339;2.36;60;0;0;1.6;0.1;;6.4;0.11;0.23;1.6;0.44;77;39.5;12.3
viandes. ?ufs. poissons et assimiles;Langouste. crue;86.9;78.6;17.7;1.07;1.34;0;;;;;;;0;0;0;1.35;0;0;0.25;0.31;0.67;0;0;0;0;0;8;0.1;0.07;0.08;;;;0.22;94;125;0.45;60.6;;0.38;1.12;65;30.3;15;241;340;;180;5.69;15;0;;1.47;;;2;44;97;3.06;0.35;0.17;1;3.5
viandes. ?ufs. poissons et assimiles;Seiche. crue;76.3;80.6;16.2;0.51;1.05;0;0;;0;0;0;0;0;0;0;1.59;0;0;0.35;0.11;0.37;;;;;0;29;0.18;86;46;14;15;59;69;0.22;111;0.93;37.1;0;0.76;2.74;21;31;82;236;351;65;372;1.81;25;0;0;2.4;;;5.3;57;0.37;2.1;0.5;0.33;14;2.5
viandes. ?ufs. poissons et assimiles;Clam. Praire ou Palourde. cru;80.5;81.1;11.5;2.66;2.65;0.16;0;0;0.16;0;0;0;0;0;0;2.1;0;0;0.21;0.17;0.46;0;0;0;0;4;8;0.11;0.05;54;27;15;;43;64;40;0.82;46;;53;7.81;80;19;85;168;180;;329;0.96;53;0;0;0.68;0.2;;13;48;0.13;1.08;0.15;35;10.5;11.3
viandes. ?ufs. poissons et assimiles;Poulpe. cru;60.1;85.4;12.9;0.97;0.5;0;0.2;;0.2;0.2;0.2;0.2;0.2;0;0;1.2;0;0;0.16;58;0.13;0;0;0;0;0;4;0.1;44;19;0.0012;0.0006;;0.04;81;101;0.68;50.1;0;0.61;2.32;20.3;33;0.11;166;265;38;271;2.36;20;0;0.5;1.65;0.1;;5;48;59;3.2;0.5;0.36;14;15
viandes. ?ufs. poissons et assimiles;Bulot ou Buccin. cru;131;66;23.8;7.61;0.57;0;;;;;;;0;0;0;2;0;0;31;29;22;0;0;0;0;0;2;0.02;0.0089;;;;;4;6;65;0.52;57;;1.03;5.02;;86;0.45;141;347;;206;1.62;26;0;0;0.13;0.1;;4;28;0.11;1.08;0.21;0.34;6;9.07
viandes. ?ufs. poissons et assimiles;Crevette. crue;99;74.3;19.7;3.21;0.84;0;;;;;;;0;0;0;1.99;0;0;0.19;;;;;;;;;;;;;;;;;150;0.45;84.8;;0.72;3.21;120;49.8;0.17;195;278;34;182;2.81;;;0.2;1.7;;;0;35;0.03;3.2;0.37;0.15;19;1
viandes. ?ufs. poissons et assimiles;Langoustine. crue;89.8;76.5;19.1;1.53;0.79;0;;;;;;;0;0;0;2.03;0;0;0.21;0.17;0.25;;;;;0;15;0.11;0.05;0.17;22;29;0.0027;0.14;64;79.4;0.72;41.5;;0.55;2.92;141;43.3;0.07;144;505;55;287;3.4;0;;0;1.5;0;;3;0.13;0.01;2;1.5;0.21;17;0.9
viandes. ?ufs. poissons et assimiles;Moule de Mediterranee. crue;68.7;83.7;10.7;2.77;1.67;;;;;;;;0;0;0;1.23;0;0;;;;;;;;;;;;;;;;;;;;88;;1.1;10.9;;44;0.8;;382;;;4.6;;;;;;;;;;;;;;
viandes. ?ufs. poissons et assimiles;ecrevisse. crue;68.3;82.6;14.8;0.81;0.64;0;0;;0;0;0;0;0;0;0;1.13;0;0;0.11;0.16;0.25;;;;;0;0.0075;85;22;;7;15;;0.12;27;131;0.39;53.5;280;0.37;1.71;68;25.5;0.15;245;300;70;157;1.18;11;0;0.25;1.5;0;;1.7;56;56;2.1;0.57;0.48;26;2.2
viandes. ?ufs. poissons et assimiles;Huetre creuse. crue;67.2;83.3;8.64;3.86;1.91;0;0;;0;0;0;0;0;0;0;2.3;0;0;0.34;0.23;0.35;0;0;0;0;0.00042;44;0.21;52;39;15;12;;0.15;71;20.3;1.41;81;;1.45;2.07;101;78.1;0.58;94.6;215;14.9;566;21.8;14.2;0;0.5;1.21;;;6.5;37;0.15;1.95;0.65;95;6.5;28.6
viandes. ?ufs. poissons et assimiles;Huetre plate. crue;53.5;85.7;10.2;1.16;0.9;0;;;;;;;0;0;0;2.04;0;0;0.17;0.21;0.19;;;;;;;;;;;;;;;98;1.28;186;;;6;;;;267;260;;510;45;75;0;0.54;0.46;;;0;0.1;0.2;1.5;;0.16;10;
viandes. ?ufs. poissons et assimiles;Crevette. surgelee. crue;105;;23.4;0.74;0.9;;0.3;;0.41;;0.3;0.3;0;0.5;0;1.84;0;0;0.17;0.18;0.31;;;;;;;;;;;;;;;160;0.6;;;;;;;;;;;240;0.9;2;0;;2.85;;;0;;0.02;;;0.07;13;
viandes. ?ufs. poissons et assimiles;Crabe. cru;104;75.7;19.5;27;2.86;0;;;;;;;0;0;0;1.9;0;0;0.47;0.88;1.41;;;;;0;48;0.36;55;0.71;47;41;9;0.32;0.15;78;0.69;84;;0.44;1.67;60;42.5;;208;268;82;275;7.7;2;0;0;2.4;0;;2.5;97;0.17;2.4;0.71;0.21;25.9;9.55
viandes. ?ufs. poissons et assimiles;Ormeau. cru;99.6;74.6;14.4;8.69;0.83;0;;;;;;;0;0;0;1.57;0;0;0.15;0.11;0.1;0;0;0;0;0;23;0.1;21;;;;;49;0;85;0.47;31;;0.2;5.9;;48;0.04;154;215;;189;0.82;2;0;0;4;;;2;0.15;0.19;1.5;3;0.15;5;0.73
